10032,10033
10588,10066
10590,10322
10841,10341
10870,10581
10931,11061
11056,11104
11119,11235
11205,11404
11212,11482
11277,11813
11316,12415
11444,12472
11513,12703
11720,12776
11727,12821
11814,12822
11937,12916
12043,13024
12200,13200
12334,13462
12501,13462
12525,13462
12559,13462
12670,13462
12869,13462
12925,13462
12941,13462
13022,13462
13105,13462
13222,13462
13462,13481
13517,14002
13811,14127
13997,14306
14348,14737
14381,14874
14513,15072
14645,15109
14685,15538
14758,15605
14866,15680
15115,15694
15152,15855
15191,16050
15218,16117
15283,16750
15332,17001
15496,17208
15654,17341
15666,17361
15692,17507
15760,17578
15985,17700
15999,17729
16005,17815
16165,17857
16169,18124
16392,18159
16417,18607
16484,18711
16564,18977
16667,19348
16720,19348
16851,19348
17087,19348
17237,19348
17348,19348
17379,19505
17412,19763
17488,19763
17492,19763
17674,19763
17675,19763
17709,19763
17790,19763
17834,19763
17932,19763
18304,19763
18431,19763
18532,19763
18722,19763
18875,19763
18949,19763
19051,19763
19142,19763
19177,19763
19217,19763
19258,19763
19345,19843
19348,20033
19419,20190
19663,20234
19683,20431
19762,20616
19763,20757
19929,20844
19987,21003
20244,21412
20343,21412
20348,21412
20413,21412
20423,21412
20554,21412
20625,21412
20742,21499
20769,21576
20876,21577
20960,21688
20983,21830
21071,21971
21090,21971
21091,21971
21189,21971
21412,21971
21585,21971
21668,21971
21971,21971
21977,21971
21988,21971
22248,21971
22270,21971
22498,21971
22662,21971
22803,21971
22854,22007
23066,22047
23071,22059
23096,22167
23128,22174
23135,22221
23233,22309
23253,22314
23286,22475
23305,22498
23312,22498
23371,22498
23459,22498
23529,22498
23674,22498
23800,22498
23823,22498
23960,22498
23989,22498
24010,22498
24020,22498
24143,22498
24165,22498
24241,22498
24283,22498
24635,22498
24697,22498
24757,22498
24872,22498
24883,22550
24917,22575
25026,22621
25089,22833
25140,22985
25163,23082
25170,23183
25172,23196
25316,23524
25317,23909
25391,24109
25412,24242
25532,24259
25682,24326
25697,24930
25729,25196
25746,25516
25780,25554
25785,25574
25902,25888
25998,26347
26075,26365
26116,26451
26127,26551
26202,26854
26294,26985
26397,27123
26590,27148
26599,27331
26606,27421
26764,27549
26810,28444
26897,28444
27180,28503
27192,28606
27402,28903
27500,28903
27966,28903
28010,28903
